risk_rank,customerID,Contract,InternetService,tenure,MonthlyCharges,annual_revenue,churn_probability,revenue_at_risk
21,5760-IFJOZ,Month-to-month,Fiber optic,3,107.95,1295.4,0.6471529147395249,838.3218857535805
22,7225-CBZPL,Month-to-month,Fiber optic,17,94.8,1137.6,0.7356259519693089,836.8480829602858
23,4115-NZRKS,Month-to-month,Fiber optic,7,89.15,1069.8000000000002,0.7820455874427945,836.6323694463017
24,6969-MVBAI,Month-to-month,Fiber optic,9,90.1,1081.1999999999998,0.7728968437593059,835.6560674725614
25,1960-UYCNN,Month-to-month,Fiber optic,10,95.25,1143.0,0.7305136141174935,834.9770609362951
26,0187-QSXOE,Month-to-month,Fiber optic,7,89.0,1068.0,0.7817568475057086,834.9163131360968
27,5935-FCCNB,Month-to-month,Fiber optic,17,94.2,1130.4,0.7343066944436956,830.0602873991535
28,0916-QOFDP,Month-to-month,Fiber optic,14,95.8,1149.6,0.7220112902516647,830.0241792733136
29,8087-LGYHQ,Month-to-month,Fiber optic,9,94.05,1128.6,0.7340930293963667,828.4973929767393
30,7577-SWIFR,Month-to-month,Fiber optic,1,89.25,1071.0,0.7713138619528652,826.0771461515186
31,3452-GWUIN,Month-to-month,Fiber optic,19,94.95,1139.4,0.7234101626757375,824.2535393527354
32,8313-NDOIA,Month-to-month,Fiber optic,24,104.15,1249.8000000000002,0.6575570706635405,821.8148269152931
33,0722-SVSFK,Month-to-month,Fiber optic,7,100.4,1204.8000000000002,0.681950301883444,821.6137237091734
34,1393-IMKZG,Month-to-month,Fiber optic,1,95.85,1150.1999999999998,0.71140496946949,818.2579958838072
35,6030-REHUX,Month-to-month,Fiber optic,28,110.85,1330.1999999999998,0.6145901175050829,817.5277743052611
36,9402-ORRAH,Month-to-month,Fiber optic,15,91.5,1098.0,0.7407204146317752,813.3110152656891
37,8622-ZLFKO,Month-to-month,Fiber optic,6,90.75,1089.0,0.74529106419221,811.6219689053167
38,7668-XCFYV,Month-to-month,Fiber optic,17,92.55,1110.6,0.7306571442805849,811.4678244380176
39,4884-ZTHVF,Month-to-month,Fiber optic,8,87.1,1045.1999999999998,0.7725352579015888,807.4538515587406
40,4395-PZMSN,Month-to-month,Fiber optic,5,85.55,1026.6,0.7859359824681882,806.8418796018419
41,2545-EBUPK,Month-to-month,Fiber optic,2,84.05,1008.5999999999999,0.7988435952817458,805.7136502011687
42,5168-MSWXT,Month-to-month,Fiber optic,8,94.75,1137.0,0.7067387123060707,803.5619158920024
43,2984-AFWNC,Month-to-month,Fiber optic,3,95.4,1144.8000000000002,0.70095308487519,802.4510915651177
44,1941-HOSAM,Month-to-month,Fiber optic,1,90.1,1081.1999999999998,0.7407252003397736,800.8720866073631
45,7392-YYPYJ,Month-to-month,Fiber optic,22,100.65,1207.8000000000002,0.6629634418235556,800.7272450344906
46,3462-BJQQA,Month-to-month,Fiber optic,6,89.75,1077.0,0.7431423426686018,800.3643030540842
47,4566-NECEV,Month-to-month,Fiber optic,5,96.55,1158.6,0.6902337206095129,799.7047886981816
48,8242-SOQUO,Month-to-month,Fiber optic,5,84.7,1016.4000000000001,0.7843173432686427,797.1801476982484
49,7398-SKNQZ,Month-to-month,Fiber optic,3,94.9,1138.8000000000002,0.6997686791806159,796.8965718508855
50,3001-UNBTL,Month-to-month,Fiber optic,29,103.95,1247.4,0.6386215548745461,796.6165275505089
51,4273-MBHYA,Month-to-month,Fiber optic,1,89.35,1072.1999999999998,0.7390960071598995,792.4587388768441
52,6630-UJZMY,Month-to-month,Fiber optic,4,83.25,999.0,0.786917309769556,786.1303924597864
53,4298-OYIFC,Month-to-month,Fiber optic,15,103.45,1241.4,0.6324495317218598,785.1228486795168
54,0480-BIXDE,Month-to-month,Fiber optic,19,96.8,1161.6,0.6744725639687154,783.4673303060597
55,2123-AGEEN,Month-to-month,Fiber optic,7,84.35,1012.1999999999999,0.7726693283689694,782.0958941750707
56,4060-LDNLU,Month-to-month,Fiber optic,7,96.2,1154.4,0.6756061977815978,779.9197947190765
57,6986-IXNDM,Month-to-month,Fiber optic,14,92.9,1114.8000000000002,0.6991986843072953,779.4666932657728
58,4445-ZJNMU,Month-to-month,Fiber optic,9,99.3,1191.6,0.6529584530884771,778.0652927002293
59,1628-BIZYP,Month-to-month,Fiber optic,1,85.0,1020.0,0.7627419864689081,777.9968261982863
60,4912-PIGUY,Month-to-month,Fiber optic,1,84.6,1015.1999999999999,0.7619239289692256,773.5051726895578
61,3096-GKWEB,Month-to-month,Fiber optic,18,94.75,1137.0,0.6763720740194284,769.0350481600901
62,8118-TJAFG,Month-to-month,Fiber optic,9,101.5,1218.0,0.6308716684212579,768.401692137092
63,9547-ITEFG,Month-to-month,Fiber optic,9,102.6,1231.1999999999998,0.620982495179428,764.5536480649117
64,5947-SGKCL,Month-to-month,Fiber optic,15,105.35,1264.1999999999998,0.6037894285430639,763.3105955641413
65,1104-TNLZA,Month-to-month,Fiber optic,28,105.8,1269.6,0.6010026630544769,763.0329810139639
66,5937-EORGB,Month-to-month,Fiber optic,15,96.5,1158.0,0.6578757282245777,761.820093284061
67,3489-HHPFY,Month-to-month,Fiber optic,2,84.05,1008.5999999999999,0.7549600379419069,761.4526942682072
68,1173-XZPYF,Month-to-month,Fiber optic,11,89.2,1070.4,0.7103601747547732,760.3695310575093
69,2754-SDJRD,Month-to-month,Fiber optic,8,100.15,1201.8000000000002,0.631644929645198,759.1108764475991
70,6851-WEFYX,Month-to-month,Fiber optic,35,100.8,1209.6,0.6268203525575768,758.2018984536448
71,5348-CAGXB,Month-to-month,Fiber optic,12,89.55,1074.6,0.7045958689049087,757.1587207252148
72,7402-EYFXX,Month-to-month,Fiber optic,26,93.6,1123.1999999999998,0.6733925700137036,756.3545346393918
73,5429-LWCMV,Month-to-month,Fiber optic,12,89.15,1069.8000000000002,0.7036552194563868,752.7703537744427
74,2439-LYPMQ,Month-to-month,Fiber optic,38,102.6,1231.1999999999998,0.6090936902470823,749.9161514322076
75,9957-YODKZ,Month-to-month,Fiber optic,6,80.8,969.5999999999999,0.7712139193905437,747.7690162410711
76,0258-NOKBL,Month-to-month,Fiber optic,3,90.4,1084.8000000000002,0.6889899233375577,747.4162688365827
77,4132-KALRO,Month-to-month,Fiber optic,4,100.85,1210.1999999999998,0.6168708803308963,746.5371393764506
78,6507-ZJSUR,Month-to-month,Fiber optic,23,90.45,1085.4,0.6864182049142682,745.0383196139468
79,7379-FNIUJ,Month-to-month,Fiber optic,2,100.2,1202.4,0.6190489132574037,744.3444133007023
80,5091-HFAZW,Month-to-month,Fiber optic,2,91.15,1093.8000000000002,0.6798480699232972,743.6178188821026
81,8739-XNIKG,Month-to-month,Fiber optic,5,84.0,1008.0,0.7367734065936752,742.6675938464246
82,4716-HHKQH,Month-to-month,Fiber optic,20,107.05,1284.6,0.5765133210620481,740.589012236307
83,2080-CAZNM,Month-to-month,Fiber optic,41,104.4,1252.8000000000002,0.5910743166227933,740.4979038650356
84,5382-SOYZL,Month-to-month,Fiber optic,22,95.1,1141.1999999999998,0.6488255963961469,740.4397706072828
85,9919-KNPOO,Month-to-month,Fiber optic,21,94.3,1131.6,0.6539970106554416,740.0630172576977
86,6407-UTSLV,Month-to-month,Fiber optic,2,83.8,1005.5999999999999,0.7351526780919319,739.2695330892466
87,8266-VBFQL,Month-to-month,Fiber optic,4,90.4,1084.8000000000002,0.678150408514574,735.65756315661
88,6229-LSCKB,Month-to-month,Fiber optic,6,79.7,956.4000000000001,0.7690157202019873,735.4866348011807
89,2215-ZAFGX,Month-to-month,Fiber optic,9,85.5,1026.0,0.7148338797422453,733.4195606155437
90,1641-RQDAY,Month-to-month,Fiber optic,32,100.4,1204.8000000000002,0.6068046949471734,731.0782964723546
91,7439-DKZTW,Month-to-month,Fiber optic,1,80.55,966.5999999999999,0.7535322666017055,728.3642888972084
92,2603-HVKCG,Month-to-month,Fiber optic,31,101.4,1216.8000000000002,0.5983878821262293,728.1183749711959
93,6215-NQCPY,Month-to-month,Fiber optic,15,99.7,1196.4,0.6073351056392235,726.6157203867671
94,9279-CJEOJ,Month-to-month,Fiber optic,21,95.4,1144.8000000000002,0.6335728163432568,725.3141601497605
95,7858-GTZSP,Month-to-month,Fiber optic,12,86.55,1038.6,0.6974990119843658,724.4224738469622
96,2657-VPXTA,Month-to-month,Fiber optic,10,88.85,1066.1999999999998,0.6790456670590231,723.9984902183304
97,3338-CVVEH,Month-to-month,Fiber optic,12,94.55,1134.6,0.6355274287168854,721.0694206221781
98,9093-FPDLG,Month-to-month,Fiber optic,11,94.2,1130.4,0.6377347948757677,720.8954121275679
99,9208-OLGAQ,Month-to-month,Fiber optic,18,84.95,1019.4000000000001,0.7068982727755917,720.6120992674382
100,2809-ZMYOQ,Month-to-month,Fiber optic,32,101.35,1216.1999999999998,0.590584789496557,718.2692209857125
101,2692-BUCFV,Month-to-month,Fiber optic,29,101.45,1217.4,0.589386375233216,717.5189732089173
102,2688-BHGOG,Month-to-month,Fiber optic,9,79.55,954.5999999999999,0.7513181112058436,717.2082689570982
103,4583-PARNH,Month-to-month,Fiber optic,16,91.55,1098.6,0.6525912343467252,716.9367300533122
104,6357-JJPQT,Month-to-month,Fiber optic,3,80.5,966.0,0.741420941772406,716.2126297521443
105,4234-XTNEA,Month-to-month,Fiber optic,2,79.95,959.4000000000001,0.7462977664934928,715.998077173857
106,6137-NICCO,Month-to-month,Fiber optic,6,94.05,1128.6,0.6337526773132601,715.2532716157453
107,2985-FMWYF,Month-to-month,Fiber optic,23,93.5,1122.0,0.6373812072889378,715.1417145781882
108,2789-HQBOU,Month-to-month,Fiber optic,3,80.35,964.1999999999999,0.7410962005405591,714.564956561207
109,9360-OMDZZ,Month-to-month,Fiber optic,24,94.1,1129.1999999999998,0.6315760011145772,713.1756204585805
110,1200-TUZHR,Month-to-month,Fiber optic,8,85.2,1022.4000000000001,0.6966762867260455,712.2818355487091
111,2876-GZYZC,Month-to-month,Fiber optic,13,85.95,1031.4,0.689297949917442,710.9419055448498
112,0420-HLGXF,Month-to-month,Fiber optic,39,99.75,1197.0,0.5937595493348135,710.7301805537717
113,3422-GALYP,Month-to-month,Fiber optic,2,79.45,953.4000000000001,0.7452276774272181,710.5000676591097
114,2665-NPTGL,Month-to-month,Fiber optic,26,98.1,1177.1999999999998,0.6032508728863208,710.1469275617768
115,1379-FRVEB,Month-to-month,Fiber optic,15,91.0,1092.0,0.6489974054506898,708.7051667521533
116,8035-PWSEV,Month-to-month,Fiber optic,6,89.25,1071.0,0.6612107658450055,708.1567302200009
117,0674-DGMAQ,Month-to-month,Fiber optic,32,93.5,1122.0,0.6298592024079169,706.7020251016828
118,7517-LDMPS,Month-to-month,Fiber optic,12,84.6,1015.1999999999999,0.6928346741765368,703.36576122402
119,4813-HQMGZ,Month-to-month,Fiber optic,8,90.25,1083.0,0.6493931922245185,703.2928271791535
120,9129-UXERG,Month-to-month,Fiber optic,18,103.6,1243.1999999999998,0.5646796939645915,702.0097955367801
121,2371-JQHZZ,Month-to-month,Fiber optic,24,93.0,1116.0,0.6286821162683698,701.6092417555006
122,2018-QKYGT,Month-to-month,Fiber optic,1,81.05,972.5999999999999,0.7206295104736972,700.8842618867178
123,8875-AKBYH,Month-to-month,Fiber optic,20,84.35,1012.1999999999999,0.692106312811754,700.5500098280575
124,3427-GGZZI,Month-to-month,Fiber optic,19,89.1,1069.1999999999998,0.6551078115778495,700.4412721390365
125,4853-OITSN,Month-to-month,Fiber optic,5,89.15,1069.8000000000002,0.6536413614723164,699.2655285030843
126,1028-FFNJK,Month-to-month,Fiber optic,30,101.5,1218.0,0.57383068055071,698.9257689107648
127,8709-KRDVL,Month-to-month,Fiber optic,33,100.0,1200.0,0.5791634363691375,694.996123642965
128,4183-MYFRB,Month-to-month,Fiber optic,21,90.05,1080.6,0.6430626969802135,694.8935503568187
129,2880-FPNAE,Month-to-month,Fiber optic,2,74.2,890.4000000000001,0.7803825873858801,694.8526558083877
130,5288-AHOUP,Month-to-month,Fiber optic,11,78.5,942.0,0.7369533287851527,694.2100357156139
131,2038-OEQZH,Month-to-month,Fiber optic,4,86.05,1032.6,0.6713935431893123,693.2809726972838
132,5989-PGKJB,Month-to-month,Fiber optic,16,86.25,1035.0,0.6692536989284319,692.677578390927
133,8818-DOPVL,Month-to-month,Fiber optic,46,104.45,1253.4,0.5522954089329098,692.2470655565093
134,0848-ZGQIJ,Month-to-month,Fiber optic,16,94.65,1135.8000000000002,0.6092816284049134,692.0220735423007
135,6116-RFVHN,Month-to-month,Fiber optic,34,100.45,1205.4,0.5726362155512172,690.2556942254373
136,3644-QXEHN,Month-to-month,Fiber optic,13,97.0,1164.0,0.5929698145444182,690.2168641297028
137,1197-BVMVG,Month-to-month,Fiber optic,4,74.45,893.4000000000001,0.769787188214296,687.7278739506521
138,6267-DCFFZ,Month-to-month,Fiber optic,30,90.05,1080.6,0.6355911657788532,686.8198137406288
139,5692-ICXLW,Month-to-month,Fiber optic,31,90.7,1088.4,0.6299055313512414,685.5891803226912
140,3191-CSNMG,Month-to-month,Fiber optic,3,80.7,968.4000000000001,0.7068276672603769,684.4919129749491
141,2077-MPJQO,Month-to-month,Fiber optic,7,75.4,904.8000000000001,0.754437219529989,682.6147962307341
142,0225-ZORZP,Month-to-month,Fiber optic,3,84.3,1011.5999999999999,0.6740467624677244,681.86570491235
143,9971-ZWPBF,Month-to-month,Fiber optic,34,108.9,1306.8000000000002,0.5195426992491401,678.9383993787764
144,6242-MBHPK,Month-to-month,Fiber optic,23,95.1,1141.1999999999998,0.5947415233738408,678.719026474227
145,0168-XZKBB,Month-to-month,Fiber optic,19,86.85,1042.1999999999998,0.6493470492011033,676.7494946773897
146,9334-GWGOW,Month-to-month,Fiber optic,7,74.85,898.1999999999999,0.7532852419589704,676.6008043275472
147,0021-IKXGC,Month-to-month,Fiber optic,1,72.1,865.1999999999999,0.7817676929575601,676.385407946881
148,4633-MKHYU,Month-to-month,Fiber optic,9,88.4,1060.8000000000002,0.6375527471753795,676.3159542036426
149,4686-UXDML,Month-to-month,Fiber optic,21,99.85,1198.1999999999998,0.5638055919026331,675.5518602177349
150,2018-PZKMU,Month-to-month,Fiber optic,9,103.1,1237.1999999999998,0.5459458609302282,675.4442191428783
